a	吖	0.630
a	呵	0.630
a	啊	0.630
a	嗄	0.630
a	腌	0.630
a	阿	0.630
a	锕	0.620
a ba	阿爸	0.690
a ba	阿坝	0.680
a ba fu	阿爸父	0.710
a ba ga qi	阿巴嘎旗	0.680
a ba la qi ya	阿巴拉契亚	0.670
a ba si	阿巴斯	0.710
a ba si wang chao	阿拔斯王朝	0.680
a ba xian	阿坝县	0.700
a ba zhou	阿坝州	0.700
a bei bei	阿贝贝	0.700
a bei er	阿贝尔	0.700
a bi	阿比	0.690
a bi	阿鼻	0.690
a bi di yu	阿鼻地狱	0.670
a bi rang	阿比让	0.700
a bi xi ni ya	阿比西尼亚	0.670
a bi xi ni ya ren	阿比西尼亚人	0.670
a bi ya	阿彼雅	0.710
a bian	阿扁	0.690
a bing ge	阿兵哥	0.710
a bo ding	阿伯丁	0.710
a bo luo	阿波罗	0.700
a bo luo ji hua	阿波罗计划	0.670
a bu da bi	阿布达比	0.670
a bu du la	阿卜杜拉	0.680
a bu ha zi	阿布哈兹	0.670
a bu jia	阿布贾	0.700
a bu sha ye fu	阿布沙耶夫	0.680
a bu shu chun	阿布叔醇	0.680
a bu zha bi	阿布扎比	0.680
a cai	A菜	0.650
a chang	阿昌	0.690
a chang zu	阿昌族	0.710
a cheng	阿城	0.690
a cheng qu	阿城区	0.700
a chu fo	阿初佛	0.710
a chu fo	阿閦佛	0.710
a ci hai mo zheng	阿茨海默症	0.680
a da bi er	阿达比尔	0.670
a dan	阿丹	0.690
a de la	阿得拉	0.710
a de la er	阿得拉尔	0.670
a de lai de	阿得莱德	0.670
a de lai de	阿德莱德	0.670
a de lei de	阿德雷德	0.680
a di	阿弟	0.690
a di da si	阿迪达斯	0.670
a di ping	阿的平	0.710
a di sen shi bing	阿狄森氏病	0.680
a di si a bei ba	阿迪斯阿贝巴	0.670
a die	阿爹	0.690
a ding	吖啶	0.690
a ding ding	吖丁啶	0.710
a dou	阿斗	0.690
a duo ni si	阿多尼斯	0.680
a duo nuo	阿多诺	0.700
a er ba ni ya	阿尔巴尼亚	0.670
a er ba ni ya ren	阿尔巴尼亚人	0.670
a er bei si	阿尔卑斯	0.670
a er bo ta	阿尔伯塔	0.670
a er bo te	阿尔伯特	0.670
a er ci hai mo	阿尔茨海默	0.670
a er ci hai mo bing	阿尔茨海默病	0.670
a er ci hai mo zheng	阿尔茨海默症	0.670
a er du sai	阿尔都塞	0.670
a er fa	阿尔法	0.700
